CATEGORY,2072/73 (2015/16),,2073/74 (2016/17),,,2074/75 (2017/18),,2075/76 (2018/19)
CATTLE,"7,302,808",,"7,347,487",,,"7,376,306",,"7,385,035"
BUFFALOES,"5,168,809",,"5,177,998",,,"5,277,819",,"5,308,664"
SHEEP,"800,658",,"801,975",,,"800,749",,"798,889"
GOAT,"10,986,114",,"11,165,099",,,"11,647,319",,"12,283,752"
PIGS,"1,291,308",,"1,328,036",,,"1,435,369",,"1,488,338"
FOWL,"68,630,638",,"70,007,151",,,"72,245,732",,"75,709,330"
DUCK,"392,255",,"394,775",,,"404,670",,"416,400"
MILKING COW,"1,026,135",,"1,029,529",,,"1,039,538",,"1,078,775"
MILKING BUFFALOES,"1,355,384",,"1,509,512",,,"1,535,948",,"1,560,584"
LAYING HEN,"12,353,515",,"12,388,889",,,"12,517,558",,"12,526,979"
LAYING DUCK,"180,927",,"183,940",,,"186,912",,"190,747"
