तरकारी बाली,क्षेत्रफल (हे),उत्पादन (मे.ट.),उत्पादकत्व (मे.ट.\हे.)
काउली,330,6220,१८.८५
वन्दा,420,8160,१९.४३
गोलभेडा,157,5200,३३.१२
मूला,259,6530,२५.२१
 रायो,270,4000,१४.८१
गाँजर,127,1334,१०.५०
भेडेखुर्सानी,62,1189,१९.१८
केराउ कोसा,89,1350,१५.१७
घ्यू सिमी,75,1520,२०.२७
झ्याङ्गे सिमी,84,1700,२०.२४
टाटे सिमी,66,992,१५.०३
काँक्रो,110,2550,३२.२७
 अदुवा,127,1450,११.४२
प्याज,95,1400,१४.७४
करेला,80,1445,१८.०६
अकबरे खुर्सानी,1,3,३
हरियो खुर्सानी,37,740,२०
भिण्डी,13,230,१७.६९
भाण्टा,15,240,१६
फर्सी,72,1440,२०
कूरिलो,7,113,१६.१४
जुकिनी,10,210,२१
घिरौला,20,350,१७.५०
पाटे घिरौला ,5,106,२१.२
चिचिण्डो,5,100,२०
लैका,13,190,१४.६२
बरेला,1,14,१४
स्कुस,14,270,१९.२९
धनियाँको साग,4,62,१५.५
पालुङ्गो,6,72,१२
चम्सुर,10,150,१५
पिंडालु,1,10,१०
तरुल,1,10,१०
बोडी,2,21,१०.५
अलैची,3.5,3,०.८६
लसुन,11,12,१.०९
बेसार ,12,13,१.०८
खुर्सानी (सुकेको),1.6,1.7,१.०६
धनिँया (दाना),2.2,1.7,०.७७
व्रोकाउली,9,200,२२.२२
सलगम,11,300,२७.२७
बकुल्ला,2,20,१०
तने बोडी,19,410,२१.५८
रुखभेडा,1,10,१०
